Description,Class
Heating Service - Warehouse Peak Demand,Heating
Kwh Usage - Data Center (Quarterly),Electricity
Hazardous Waste Pickup - Pallet Disposal Container Emptying,Waste Disposal
Water Charges - Laboratory July,Water
Scrap Metal Hauling - Solvent Waste Container Emptying,Waste Disposal
Water Charges - Production Site April,Water
Fuel Oil Delivery - Boiler Room February,Heating
Electrical Service - Production Line 3 (Quarterly),Electricity
Power Consumption - Packaging Facility (Year-End),Electricity
Grid Charge - Data Center (Q1),Electricity
Propane Purchase - Manufacturing Area October,Heating
Municipal Water - Production Site Q3,Water
H2O Billing - Laboratory Annual Fee,Water
Kwh Usage - Main Plant (Q1),Electricity
Fuel Oil Delivery - Warehouse February,Heating
Power Consumption - Main Plant (Year-End),Electricity
Electrical Service - R&D Lab (Q3),Electricity
Power Consumption - Data Center (January),Electricity
Electricity Supply - Corporate Office (Q1),Electricity
Propane Purchase - Warehouse Gas Meter Reading,Heating
H2O Billing - Fire Sprinklers Annual Fee,Water
Gas Consumption - Boiler Room Gas Meter Reading,Heating
Hazardous Waste Pickup - Pallet Disposal Weekly Service,Waste Disposal
Electrical Service - North Warehouse (Q3),Electricity
Propane Purchase - Drying Ovens Q4,Heating
Kwh Usage - Packaging Facility (December),Electricity
Natural Gas Supply - Manufacturing Area Monthly,Heating
H2O Billing - Admin Block Q2,Water
Electrical Service - Corporate Office (January),Electricity
Waste Disposal - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Gas Consumption - Boiler Room February,Heating
Gas Consumption - Manufacturing Area Winter Season,Heating
Electrical Service - North Warehouse (Monthly),Electricity
Refuse Collection - Pallet Disposal Q1,Waste Disposal
Water Charges - Admin Block Monthly Invoice,Water
H2O Billing - Irrigation System April,Water
Heating Service - Boiler Room Winter Season,Heating
Heating Service - Manufacturing Area Winter Season,Heating
Hazardous Waste Pickup - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Hazardous Waste Pickup - Solvent Waste Weekly Service,Waste Disposal
H2O Billing - Cooling Tower July,Water
Natural Gas Supply - Manufacturing Area Gas Meter Reading,Heating
Fuel Oil Delivery - Boiler Room October,Heating
Hazardous Waste Pickup - General Refuse Bi-Weekly Pickup,Waste Disposal
Municipal Water - Fire Sprinklers July,Water
Waste Disposal - Industrial Debris Q1,Waste Disposal
Refuse Collection - Industrial Debris Q1,Waste Disposal
Grid Charge - Main Plant (Monthly),Electricity
Hazardous Waste Pickup - Recyclable Materials Monthly Fee,Waste Disposal
Water Charges - Cooling Tower Annual Fee,Water
H2O Billing - Cooling Tower Q2,Water
Propane Purchase - Boiler Room February,Heating
Waste Disposal - Pallet Disposal Q1,Waste Disposal
H2O Billing - Admin Block Q3,Water
Water Supply - Irrigation System Annual Fee,Water
Power Consumption - Production Line 3 (Q3),Electricity
Power Consumption - Corporate Office (Q1),Electricity
Propane Purchase - Office Building 2 Q4,Heating
Power Consumption - Corporate Office (Q3),Electricity
Water Supply - Laboratory Meter Reading,Water
Electricity Supply - R&D Lab (Year-End),Electricity
Natural Gas Supply - Office Building 2 Gas Meter Reading,Heating
Natural Gas Supply - Office Building 2 February,Heating
Kwh Usage - Main Plant (Q1),Electricity
Chemical Waste Removal - Solvent Waste Monthly Fee,Waste Disposal
Refuse Collection - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Electricity Supply - Corporate Office (Q1),Electricity
Natural Gas Supply - Drying Ovens Peak Demand,Heating
Refuse Collection - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Hazardous Waste Pickup - General Refuse Bi-Weekly Pickup,Waste Disposal
Scrap Metal Hauling - General Refuse Container Emptying,Waste Disposal
H2O Billing - Admin Block Q2,Water
Power Consumption - Packaging Facility (January),Electricity
H2O Billing - Irrigation System Meter Reading,Water
Gas Consumption - Chemical Storage Gas Meter Reading,Heating
Electricity Supply - Packaging Facility (Q3),Electricity
Electrical Service - North Warehouse (December),Electricity
Water Supply - Fire Sprinklers Meter Reading,Water
Power Consumption - North Warehouse (Q3),Electricity
Scrap Metal Hauling - Industrial Debris Weekly Service,Waste Disposal
Heating Service - Warehouse Peak Demand,Heating
Electrical Service - Data Center (Quarterly),Electricity
Water Supply - Irrigation System July,Water
Chemical Waste Removal - Solvent Waste Q1,Waste Disposal
Kwh Usage - Corporate Office (Monthly),Electricity
Refuse Collection - Solvent Waste Monthly Fee,Waste Disposal
Electricity Supply - Corporate Office (Monthly),Electricity
Gas Consumption - Office Building 2 October,Heating
Propane Purchase - Drying Ovens Peak Demand,Heating
Kwh Usage - Production Line 3 (Monthly),Electricity
Hazardous Waste Pickup - Industrial Debris Q1,Waste Disposal
Propane Purchase - Boiler Room Gas Meter Reading,Heating
Electrical Service - Main Plant (Monthly),Electricity
Fuel Oil Delivery - Office Building 2 October,Heating
Grid Charge - Production Line 3 (Monthly),Electricity
Hazardous Waste Pickup - Recyclable Materials Q1,Waste Disposal
Chemical Waste Removal - Recyclable Materials Weekly Service,Waste Disposal
H2O Billing - Fire Sprinklers Q3,Water
Waste Disposal - Solvent Waste Weekly Service,Waste Disposal
Waste Disposal - Recyclable Materials Q1,Waste Disposal
Natural Gas Supply - Chemical Storage Gas Meter Reading,Heating
Chemical Waste Removal - General Refuse Monthly Fee,Waste Disposal
Refuse Collection - Pallet Disposal Q1,Waste Disposal
Waste Disposal - Solvent Waste Weekly Service,Waste Disposal
Natural Gas Supply - Chemical Storage Gas Meter Reading,Heating
Power Consumption - Data Center (Q1),Electricity
Heating Service - Warehouse Peak Demand,Heating
Utility Water Bill - Production Site July,Water
Municipal Water - Cooling Tower Q3,Water
Gas Consumption - Office Building 2 February,Heating
Heating Service - Drying Ovens October,Heating
H2O Billing - Admin Block Meter Reading,Water
Electrical Service - Data Center (Semi-Annual),Electricity
Propane Purchase - Manufacturing Area Gas Meter Reading,Heating
Hazardous Waste Pickup - Industrial Debris Monthly Fee,Waste Disposal
H2O Billing - Fire Sprinklers April,Water
H2O Billing - Laboratory Meter Reading,Water
Natural Gas Supply - Drying Ovens Monthly,Heating
Electricity Supply - Production Line 3 (Monthly),Electricity
H2O Billing - Laboratory Monthly Invoice,Water
Electricity Supply - Packaging Facility (Quarterly),Electricity
Propane Purchase - Office Building 2 Monthly,Heating
Kwh Usage - R&D Lab (Monthly),Electricity
Hazardous Waste Pickup - Industrial Debris Q1,Waste Disposal
Water Supply - Admin Block Annual Fee,Water
Kwh Usage - Main Plant (Year-End),Electricity
Municipal Water - Cooling Tower Monthly Invoice,Water
Propane Purchase - Chemical Storage February,Heating
Fuel Oil Delivery - Warehouse Q4,Heating
Power Consumption - Corporate Office (Q1),Electricity
Water Supply - Admin Block Meter Reading,Water
Municipal Water - Irrigation System Meter Reading,Water
Grid Charge - Packaging Facility (Monthly),Electricity
Refuse Collection - General Refuse Container Emptying,Waste Disposal
Water Supply - Production Site July,Water
Gas Consumption - Office Building 2 Monthly,Heating
Refuse Collection - Industrial Debris Q1,Waste Disposal
Gas Consumption - Warehouse October,Heating
Heating Service - Chemical Storage Peak Demand,Heating
Electrical Service - Data Center (Monthly),Electricity
Kwh Usage - Corporate Office (Year-End),Electricity
Propane Purchase - Office Building 2 October,Heating
Gas Consumption - Drying Ovens October,Heating
Electricity Supply - Packaging Facility (Semi-Annual),Electricity
Grid Charge - Corporate Office (Monthly),Electricity
Refuse Collection - Recyclable Materials Weekly Service,Waste Disposal
Utility Water Bill - Production Site April,Water
Water Charges - Cooling Tower Annual Fee,Water
Hazardous Waste Pickup - General Refuse Weekly Service,Waste Disposal
H2O Billing - Production Site Annual Fee,Water
Municipal Water - Irrigation System April,Water
Power Consumption - North Warehouse (Q3),Electricity
Electricity Supply - Packaging Facility (Q1),Electricity
Hazardous Waste Pickup - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Water Charges - Production Site July,Water
Natural Gas Supply - Manufacturing Area Q4,Heating
Propane Purchase - Warehouse Peak Demand,Heating
Power Consumption - Data Center (Semi-Annual),Electricity
Utility Water Bill - Production Site Q2,Water
H2O Billing - Admin Block Q2,Water
Grid Charge - Corporate Office (Monthly),Electricity
Heating Service - Office Building 2 October,Heating
Electrical Service - North Warehouse (Monthly),Electricity
Kwh Usage - Packaging Facility (Year-End),Electricity
Gas Consumption - Chemical Storage Q4,Heating
H2O Billing - Admin Block Q3,Water
Hazardous Waste Pickup - General Refuse Bi-Weekly Pickup,Waste Disposal
Electricity Supply - Packaging Facility (Quarterly),Electricity
Refuse Collection - General Refuse Monthly Fee,Waste Disposal
Hazardous Waste Pickup - Industrial Debris Weekly Service,Waste Disposal
Utility Water Bill - Laboratory Q2,Water
Hazardous Waste Pickup - Recyclable Materials Monthly Fee,Waste Disposal
Utility Water Bill - Production Site July,Water
Electricity Supply - Corporate Office (Semi-Annual),Electricity
Utility Water Bill - Laboratory July,Water
Power Consumption - Data Center (Year-End),Electricity
H2O Billing - Fire Sprinklers Q3,Water
Fuel Oil Delivery - Office Building 2 Gas Meter Reading,Heating
Water Charges - Fire Sprinklers Annual Fee,Water
Hazardous Waste Pickup - Industrial Debris Container Emptying,Waste Disposal
Refuse Collection - Solvent Waste Q1,Waste Disposal
Kwh Usage - Production Line 3 (Q1),Electricity
Electrical Service - R&D Lab (January),Electricity
Gas Consumption - Drying Ovens Peak Demand,Heating
Scrap Metal Hauling - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Hazardous Waste Pickup - Pallet Disposal Q1,Waste Disposal
Heating Service - Boiler Room Winter Season,Heating
Water Charges - Laboratory Monthly Invoice,Water
Refuse Collection - Industrial Debris Monthly Fee,Waste Disposal
Refuse Collection - Pallet Disposal Q1,Waste Disposal
Gas Consumption - Drying Ovens Monthly,Heating
Natural Gas Supply - Chemical Storage October,Heating
Fuel Oil Delivery - Manufacturing Area Monthly,Heating
Refuse Collection - Industrial Debris Container Emptying,Waste Disposal
Gas Consumption - Chemical Storage Monthly,Heating
Kwh Usage - R&D Lab (January),Electricity
Scrap Metal Hauling - General Refuse Monthly Fee,Waste Disposal
Fuel Oil Delivery - Manufacturing Area Winter Season,Heating
Hazardous Waste Pickup - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Municipal Water - Production Site Meter Reading,Water
Chemical Waste Removal - Solvent Waste Monthly Fee,Waste Disposal
Kwh Usage - Corporate Office (January),Electricity
Gas Consumption - Chemical Storage Monthly,Heating
Natural Gas Supply - Chemical Storage February,Heating
Electricity Supply - R&D Lab (Semi-Annual),Electricity
Natural Gas Supply - Manufacturing Area Monthly,Heating
Scrap Metal Hauling - Pallet Disposal Container Emptying,Waste Disposal
Power Consumption - North Warehouse (Quarterly),Electricity
Natural Gas Supply - Manufacturing Area Gas Meter Reading,Heating
H2O Billing - Production Site April,Water
Power Consumption - Packaging Facility (Year-End),Electricity
Kwh Usage - Packaging Facility (Monthly),Electricity
Water Supply - Cooling Tower April,Water
Power Consumption - Packaging Facility (Year-End),Electricity
Heating Service - Manufacturing Area October,Heating
H2O Billing - Cooling Tower Q2,Water
Electricity Supply - North Warehouse (Monthly),Electricity
Water Supply - Admin Block Q2,Water
Utility Water Bill - Laboratory April,Water
Electrical Service - North Warehouse (Q3),Electricity
Waste Disposal - Recyclable Materials Weekly Service,Waste Disposal
Electrical Service - Production Line 3 (Monthly),Electricity
Waste Disposal - General Refuse Weekly Service,Waste Disposal
Water Charges - Laboratory Q2,Water
Water Supply - Admin Block Annual Fee,Water
H2O Billing - Irrigation System Q2,Water
Waste Disposal - Pallet Disposal Container Emptying,Waste Disposal
Municipal Water - Fire Sprinklers Q3,Water
Water Supply - Laboratory July,Water
Heating Service - Chemical Storage Winter Season,Heating
Chemical Waste Removal - General Refuse Bi-Weekly Pickup,Waste Disposal
Grid Charge - North Warehouse (Monthly),Electricity
Natural Gas Supply - Boiler Room October,Heating
Fuel Oil Delivery - Manufacturing Area Monthly,Heating
Kwh Usage - Corporate Office (January),Electricity
Refuse Collection - Pallet Disposal Monthly Fee,Waste Disposal
Gas Consumption - Office Building 2 Winter Season,Heating
Power Consumption - Corporate Office (Year-End),Electricity
H2O Billing - Admin Block April,Water
Propane Purchase - Office Building 2 Monthly,Heating
Grid Charge - Data Center (Year-End),Electricity
Hazardous Waste Pickup - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Grid Charge - R&D Lab (Year-End),Electricity
Heating Service - Drying Ovens February,Heating
Propane Purchase - Warehouse Q4,Heating
Waste Disposal - General Refuse Weekly Service,Waste Disposal
Grid Charge - North Warehouse (Q1),Electricity
Municipal Water - Cooling Tower April,Water
Municipal Water - Production Site Q3,Water
Water Supply - Cooling Tower Q2,Water
Municipal Water - Irrigation System Q3,Water
Water Supply - Laboratory April,Water
Water Supply - Production Site April,Water
Electrical Service - Data Center (Quarterly),Electricity
Municipal Water - Fire Sprinklers April,Water
Natural Gas Supply - Chemical Storage October,Heating
Scrap Metal Hauling - Recyclable Materials Weekly Service,Waste Disposal
